Old.Name	CrossType																					
GWR_100_487	GWR																					
GWR_100_488	GWR																					
GWR_100_489	GWR																					
GWR_100_49	GWR																					
GWR_100_490	GWR																					
GWR_100_491	GWR																					
GWR_100_492	GWR																					
GWR_100_494	GWR																					
GWR_100_495	GWR																					
GWR_100_497	GWR																					
GWR_100_499	GWR																					
GWR_100_5	GWR																					
GWR_100_50	GWR																					
GWR_100_501	GWR																					
GWR_100_503	GWR																					
GWR_100_504	GWR																					
GWR_100_505	GWR																					
GWR_100_508	.																					
GWR_100_51	GWR																					
GWR_100_52	GWR																					
GWR_100_53	GWR																					
GWR_100_54	GWR																					
GWR_100_55	GWR																					
GWR_100_58	GWR																					
GWR_100_61	GWR																					
GWR_100_62	GWR																					
GWR_100_63	GWR																					
GWR_100_65	GWR																					
GWR_100_66	GWR																					
GWR_100_68	GWR																					
GWR_100_69	GWR																					
GWR_100_70	GWR																					
GWR_100_71	GWR																					
GWR_100_72	GWR																					
GWR_100_73	GWR																					
GWR_100_74	GWR																					
GWR_100_75	GWR																					
GWR_100_76	GWR																					
GWR_100_78	GWR																					
GWR_100_79	GWR																					
GWR_100_80	GWR																					
GWR_100_81	GWR																					
GWR_100_83	GWR																					
GWR_100_84	GWR																					
GWR_100_85	GWR																					
GWR_100_86	GWR																					
GWR_100_88	GWR																					
GWR_100_89	GWR																					
GWR_100_90	GWR																					
GWR_100_91	GWR																					
GWR_100_92	GWR																					
GWR_100_94	GWR																					
GWR_100_95	GWR																					
GWR_100_96	GWR																					
GWR_100_99	GWR																					
GWR_287	.																					
IFG_0_1	IFG																					
IFG_0_10	IFG																					
IFG_0_13	IFG																					
IFG_0_14	IFG																					
IFG_0_15	IFG																					
IFG_0_17	IFG																					
IFG_0_19	IFG																					
IFG_0_2	IFG																					
IFG_0_20	IFG																					
IFG_0_21	IFG																					
IFG_0_22	IFG																					
IFG_0_24	IFG																					
IFG_0_25	IFG																					
IFG_0_27	IFG																					
IFG_0_28	IFG																					
IFG_0_29	IFG																					
IFG_0_3	IFG																					
IFG_0_30	IFG																					
IFG_0_32	IFG																					
IFG_0_33	IFG																					
IFG_0_34	IFG																					
IFG_0_35	IFG																					
IFG_0_36	IFG																					
IFG_0_37	IFG																					
IFG_0_4	IFG																					
IFG_0_40	IFG																					
IFG_0_41	IFG																					
IFG_0_42	GWR																					
IFG_0_44	IFG																					
IFG_0_45	IFG																					
IFG_0_46	IFG																					
IFG_0_5	IFG																					
IFG_0_50	IFG																					
IFG_0_52	IFG																					
IFG_0_55	IFG																					
IFG_0_56	IFG																					
IFG_0_57	IFG																					
IFG_0_58	IFG																					
IFG_0_59	IFG																					
IFG_0_61	IFG																					
IFG_0_62	IFG																					
IFG_0_63	IFG																					
IFG_0_64	IFG																					
IFG_0_65	IFG																					
IFG_0_66	IFG																					
IFG_0_67	IFG																					
IFG_0_68	IFG																					
IFG_0_69	IFG																					
IFG_0_7	IFG																					
IFG_0_70	IFG																					
IFG_0_71	IFG																					
IFG_0_76	IFG																					
IFG_0_78	IFG																					
IFG_0_79	IFG																					
IFG_0_8	IFG																					
IFG_0_80	IFG																					
IFG_0_9	IFG																					
IFG_100_10	IFG																					
IFG_100_100	IFG																					
IFG_100_101	IFG																					
IFG_100_102	IFG																					
IFG_100_105	IFG																					
IFG_100_106	IFG																					
IFG_100_11	IFG																					
IFG_100_12	IFG																					
IFG_100_14	IFG																					
IFG_100_15	IFG																					
IFG_100_16	IFG																					
IFG_100_17	.																					
IFG_100_18	IFG																					
IFG_100_19	IFG																					
IFG_100_2	IFG																					
IFG_100_20	IFG																					
IFG_100_21	.																					
IFG_100_22	IFG																					
IFG_100_23	IFG																					
IFG_100_24	IFG																					
IFG_100_25	IFG																					
IFG_100_26	IFG																					
IFG_100_27	IFG																					
IFG_100_28	IFG																					
IFG_100_29	IFG																					
IFG_100_3	IFG																					
IFG_100_30	IFG																					
IFG_100_32	IFG																					
IFG_100_33	IFG																					
IFG_100_34	IFG																					
IFG_100_35	IFG																					
IFG_100_36	IFG																					
IFG_100_38	IFG																					
IFG_100_39	IFG																					
IFG_100_4	IFG																					
IFG_100_40	IFG																					
IFG_100_41	IFG																					
IFG_100_42	IFG																					
IFG_100_43	IFG																					
IFG_100_44	IFG																					
IFG_100_45	IFG																					
IFG_100_46	IFG																					
IFG_100_462	GWR																					
IFG_100_47	IFG																					
IFG_100_48	.																					
IFG_100_49	IFG																					
IFG_100_5	IFG																					
IFG_100_50	IFG																					
IFG_100_51	IFG																					
IFG_100_52	IFG																					
IFG_100_53	IFG																					
IFG_100_54	IFG																					
IFG_100_55	IFG																					
IFG_100_56	IFG																					
IFG_100_57	IFG																					
IFG_100_58	IFG																					
IFG_100_59	IFG																					
IFG_100_6	IFG																					
IFG_100_60	IFG																					
IFG_100_61	IFG																					
IFG_100_62	IFG																					
IFG_100_64	IFG																					
IFG_100_66	IFG																					
IFG_100_67	IFG																					
IFG_100_68	IFG																					
IFG_100_69	IFG																					
IFG_100_7	IFG																					
IFG_100_72	IFG																					
IFG_100_73	IFG																					
IFG_100_74	IFG																					
IFG_100_75	IFG																					
IFG_100_76	IFG																					
IFG_100_77	IFG																					
IFG_100_78	IFG																					
IFG_100_79	IFG																					
IFG_100_8	IFG																					
IFG_100_80	IFG																					
IFG_100_81	IFG																					
IFG_100_83	.																					
IFG_100_84	IFG																					
IFG_100_86	IFG																					
IFG_100_87	IFG																					
IFG_100_9	IFG																					
IFG_100_94	IFG																					
IFG_100_95	IFG																					
IFG_100_98	IFG																					
IFG_100_99	IFG																					
IGF_100_55	.																					
XXX_100_1	IFG																					
XXX_100_10	GWR																					
XXX_100_100	GWR																					
XXX_100_101	GWR																					
XXX_100_102	GWR																					
XXX_100_103	IFG																					
XXX_100_105	GWR																					
XXX_100_106	GWR																					
XXX_100_107	GWR																					
XXX_100_108	GWR																					
XXX_100_109	GWR																					
XXX_100_11	GWR																					
XXX_100_110	GWR																					
XXX_100_112	GWR																					
XXX_100_113	IFG																					
XXX_100_114	GWR																					
XXX_100_115	GWR																					
XXX_100_116	GWR																					
XXX_100_117	GWR																					
XXX_100_118	GWR																					
XXX_100_119	GWR																					
XXX_100_12	IFG																					
XXX_100_120	GWR																					
XXX_100_121	GWR																					
XXX_100_122	GWR																					
XXX_100_123	IFG																					
XXX_100_124	GWR																					
XXX_100_126	GWR																					
XXX_100_127	GWR																					
XXX_100_128	GWR																					
XXX_100_129	GWR																					
XXX_100_13	GWR																					
XXX_100_130	GWR																					
XXX_100_132	GWR																					
XXX_100_133	GWR																					
XXX_100_134	.																					
XXX_100_135	GWR																					
XXX_100_136	.																					
XXX_100_137	GWR																					
XXX_100_138	.																					
XXX_100_139	GWR																					
XXX_100_14	IFG																					
XXX_100_140	GWR																					
XXX_100_147	.																					
XXX_100_149	GWR																					
XXX_100_15	GWR																					
XXX_100_151	IFG																					
XXX_100_152	IFG																					
XXX_100_153	GWR																					
XXX_100_154	IFG																					
XXX_100_155	GWR																					
XXX_100_156	IFG																					
XXX_100_157	IFG																					
XXX_100_158	GWR																					
XXX_100_159	GWR																					
XXX_100_16	IFG																					
XXX_100_160	GWR																					
XXX_100_161	GWR																					
XXX_100_163	GWR																					
XXX_100_165	GWR																					
XXX_100_166	GWR																					
XXX_100_167	GWR																					
XXX_100_168	IFG																					
XXX_100_17	IFG																					
XXX_100_170	GWR																					
XXX_100_171	GWR																					
XXX_100_173	GWR																					
XXX_100_174	GWR																					
XXX_100_175	GWR																					
XXX_100_176	GWR																					
XXX_100_177	GWR																					
XXX_100_178	GWR																					
XXX_100_179	GWR																					
XXX_100_18	IFG																					
XXX_100_183	GWR																					
XXX_100_185	GWR																					
XXX_100_186	GWR																					
XXX_100_19	IFG																					
XXX_100_2	GWR																					
XXX_100_20	GWR																					
XXX_100_21	IFG																					
XXX_100_226	IFG																					
XXX_100_227	IFG																					
XXX_100_228	GWR																					
XXX_100_229	GWR																					
XXX_100_23	GWR																					
XXX_100_230	IFG																					
XXX_100_231	IFG																					
XXX_100_232	GWR																					
XXX_100_233	GWR																					
XXX_100_234	GWR																					
XXX_100_235	GWR																					
XXX_100_237	GWR																					
XXX_100_239	.																					
XXX_100_24	GWR																					
XXX_100_240	GWR																					
XXX_100_241	GWR																					
XXX_100_242	GWR																					
XXX_100_243	IFG																					
XXX_100_245	GWR																					
XXX_100_246	GWR																					
XXX_100_247	GWR																					
XXX_100_248	IFG																					
XXX_100_249	GWR																					
XXX_100_25	GWR																					
XXX_100_250	IFG																					
XXX_100_26	GWR																					
XXX_100_27	GWR																					
XXX_100_28	GWR																					
XXX_100_29	GWR																					
XXX_100_3	IFG																					
XXX_100_30	GWR																					
XXX_100_31	GWR																					
XXX_100_32	GWR																					
XXX_100_33	GWR																					
XXX_100_334	.																					
XXX_100_34	GWR																					
XXX_100_35	GWR																					
XXX_100_350	.																					
XXX_100_36	GWR																					
XXX_100_37	GWR																					
XXX_100_38	GWR																					
XXX_100_39	GWR																					
XXX_100_4	IFG																					
XXX_100_40	GWR																					
XXX_100_41	GWR																					
XXX_100_42	IFG																					
XXX_100_43	IFG																					
XXX_100_44	IFG																					
XXX_100_45	IFG																					
XXX_100_46	IFG																					
XXX_100_47	IFG																					
XXX_100_48	IFG																					
XXX_100_49	IFG																					
XXX_100_5	GWR																					
XXX_100_50	GWR																					
XXX_100_51	GWR																					
XXX_100_52	IFG																					
XXX_100_53	IFG																					
XXX_100_54	GWR																					
XXX_100_55	GWR																					
XXX_100_56	GWR																					
XXX_100_57	GWR																					
XXX_100_58	GWR																					
XXX_100_59	GWR																					
XXX_100_6	IFG																					
XXX_100_60	GWR																					
XXX_100_61	GWR																					
XXX_100_62	GWR																					
XXX_100_63	GWR																					
XXX_100_64	GWR																					
XXX_100_65	GWR																					
XXX_100_66	GWR																					
XXX_100_67	GWR																					
XXX_100_68	GWR																					
XXX_100_69	IFG																					
XXX_100_7	IFG																					
XXX_100_70	GWR																					
XXX_100_71	GWR																					
XXX_100_72	GWR																					
XXX_100_73	GWR																					
XXX_100_74	GWR																					
XXX_100_75	IFG																					
XXX_100_76	GWR																					
XXX_100_77	IFG																					
XXX_100_78	IFG																					
XXX_100_79	IFG																					
XXX_100_8	GWR																					
XXX_100_80	GWR																					
XXX_100_81	IFG																					
XXX_100_82	GWR																					
XXX_100_83	GWR																					
XXX_100_84	GWR																					
XXX_100_86	IFG																					
XXX_100_87	.																					
XXX_100_88	IFG																					
XXX_100_89	GWR																					
XXX_100_9	GWR																					
XXX_100_90	GWR																					
XXX_100_91	GWR																					
XXX_100_92	GWR																					
XXX_100_93	GWR																					
XXX_100_95	IFG																					
XXX_100_96	GWR																					
XXX_100_97	GWR																					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
